dsL,pL,emL,cL
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
PRISM,Climate Coefficient (kt),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
US Bureau of Reclamation AgriMet Stations,Climate Coefficient (kt),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
USU Research Report 145,Crop Growth State Coefficient (Kc),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
PRISM,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
US Bureau of Reclamation AgriMet Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
Weather Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
Emery Water Conservancy District Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
MesoWest Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
Fruit Growers Network Stations (FGNET),Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
Soil Climate Analysis Network (SCAN),Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Potential Consumptive Use-UT
NA,NA,NA,Total Land System Inflow-CA
NA,NA,NA,Area Outflows-UT
NA,NA,NA,Basin Outflow-UT
NA,NA,NA,Gaged Stream Outflow-WY
California Data Exchange Center (CDEC),Daily Max and Min Air Temperature,USGS Precipitation-Runoff Modeling System (PRMS),Stream Outflow-CA
California Irrigation Management Information System (CIMIS),Daily Max and Min Air Temperature,USGS Precipitation-Runoff Modeling System (PRMS),Stream Outflow-CA
California Data Exchange Center (CDEC),Daily Precipitation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Outflow-CA
California Irrigation Management Information System (CIMIS),Daily Precipitation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Outflow-CA
California Data Exchange Center (CDEC),Daily Short-Wave Solar Radiation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Outflow-CA
California Irrigation Management Information System (CIMIS),Daily Short-Wave Solar Radiation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Outflow-CA
USDA Natural Resources Conservation Service Geospatial Web Soil Survey,"Descriptive Data of Topography, Soils, and Vegetation",USGS Precipitation-Runoff Modeling System (PRMS),Stream Outflow-CA
Historical Diversions File,Diversions,Historical Data,Exports-CO
Colorado Water Conservation Board (CWCB),Diversions,Historical Data,Exports-CO
NA,NA,NA,Total Surface Water Outflow-CA
NA,NA,NA,Basin Inflow-UT
NA,NA,NA,River Inflow-UT
NA,NA,NA,Gaged Stream Inflow-WY
NA,NA,NA,Gaged Surface Water Inflow-CO
USGS Stream Gages,Gage Height,Natural Flow Gain Distribution,Ungaged Surface Water Inflow-CO
CO Division of Water Resources Gages,Gage Height,Natural Flow Gain Distribution,Ungaged Surface Water Inflow-CO
NA,NA,NA,Total Surface Water Inflow-CA
California Data Exchange Center (CDEC),Daily Max and Min Air Temperature,USGS Precipitation-Runoff Modeling System (PRMS),Stream Inflow-CA
California Irrigation Management Information System (CIMIS),Daily Max and Min Air Temperature,USGS Precipitation-Runoff Modeling System (PRMS),Stream Inflow-CA
California Data Exchange Center (CDEC),Daily Precipitation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Inflow-CA
California Irrigation Management Information System (CIMIS),Daily Precipitation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Inflow-CA
California Data Exchange Center (CDEC),Daily Short-Wave Solar Radiation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Inflow-CA
California Irrigation Management Information System (CIMIS),Daily Short-Wave Solar Radiation,USGS Precipitation-Runoff Modeling System (PRMS),Stream Inflow-CA
USDA Natural Resources Conservation Service Geospatial Web Soil Survey,"Descriptive Data of Topography, Soils, and Vegetation",USGS Precipitation-Runoff Modeling System (PRMS),Stream Inflow-CA
NA,NA,NA,Change in Ground Water Storage-CO
NA,NA,NA,Change in Groundwater Storage-CA
NA,NA,NA,Change in Total System Storage-CA
NA,NA,NA,Change in Land System Storage-CA
NA,NA,NA,Change in Surface Water Storage-CA
NA,NA,NA,Change in Surface Water Storage-CO
NA,NA,NA,Commercial-NMOSE
NA,NA,NA,Municipal and Industrial Diversions-UT
NA,NA,NA,Conveyance Evaporation-CA
NA,NA,NA,Conveyance Seepage-CA
NA,NA,NA,Total Groundwater System Inflow-CA
NA,NA,NA,Cropland Precipitation-UT
NA,NA,NA,Precipitation-CA
NA,NA,NA,Precipitation-CO
NA,NA,NA,Precipitation-UT
NA,NA,NA,Precipitation-WY
National Oceanic and Atmospheric Administration Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Weather Service Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
New Mexico Climate Center Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Natural Resources Conservation Service Stations (NRCS),Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Western Regional Climate Center (WRCC) Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Temperature,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Temperature,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Wind Run,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
New Mexico Climate Center Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Natural Resources Conservation Service Stations (NRCS),Wind Run,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Wind Run,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Western Regional Climate Center (WRCC) Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Climate Coefficient (kt),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
SCS TR21,Crop Growth State Coefficient (Kc),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Weather Service Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
New Mexico Climate Center Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Natural Resources Conservation Service Stations (NRCS),Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Western Regional Climate Center (WRCC) Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
SCS TR21,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Weather Service Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
New Mexico Climate Center Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Natural Resources Conservation Service Stations (NRCS),Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Western Regional Climate Center (WRCC) Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Field Survey,Crop Type,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
USDA Cropland Data Layer (CDL),Crop Type,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Weather Service Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
New Mexico Climate Center Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Natural Resources Conservation Service Stations (NRCS),Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Western Regional Climate Center (WRCC) Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Weather Service Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
New Mexico Climate Center Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Natural Resources Conservation Service Stations (NRCS),Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Western Regional Climate Center (WRCC) Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Oceanic and Atmospheric Administration Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
PRISM,Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Weather Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
National Weather Service Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
New Mexico Climate Center Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Natural Resources Conservation Service Stations (NRCS),Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Bureau of Land Management (BLM),Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
Western Regional Climate Center (WRCC) Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
USGS Stream Gages,Water Supply,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
NM Diversion Records,Water Supply,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
USGS Stream Gages,Streamflow,NM Consumptive Use Method,Irrigated Agriculture Depletions-NMOSE
US Census Bureau,Population,Withdrawal Method,Domestic Total Use-WY
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Domestic Total Use-WY
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Domestic Total Use-WY
PRISM,Monthly Precipitation Volume,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
Weather Stations,Monthly Precipitation Volume,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Rainfall,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
PRISM,Rainfall,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Monthly Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Monthly Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Class A Pan Evaporation Data,Pan Approach,Evaporation from Reservoirs-NMOSE
Weather Stations,Class A Pan Evaporation Data,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Rainfall,Pan Approach,Evaporation from Reservoirs-NMOSE
PRISM,Rainfall,Pan Approach,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Monthly Gross Evaporation Rate,Pan Approach,Evaporation from Reservoirs-NMOSE
NOAA Technical Report NWS 33,Gross Monthly Free Water Surface Evaporation,Reservoir Estimation Method,Reservoir Evaporation-CO
National Oceanic and Atmospheric Administration Stations,Monthly Effective Precipitation,Reservoir Estimation Method,Reservoir Evaporation-CO
CO Agricultural Meteorology Network Station (COAGM),Monthly Effective Precipitation,Reservoir Estimation Method,Reservoir Evaporation-CO
CO GIS Exercise,Surface Area of Reservoir,Reservoir Estimation Method,Reservoir Evaporation-CO
NA,NA,NA,Total Land System Outflow-CA
NA,NA,NA,Groundwater Export-CA
NA,NA,NA,Stored Water Export-CA
NA,NA,NA,Surface Water Exports-CA
NA,NA,NA,Total Inflow-CA
NA,NA,NA,Total Outflow-CA
NA,NA,NA,Gaged Surface Water Outflow-CO
NA,NA,NA,Ground Water Inflow-CO
NA,NA,NA,Subsurface Inflow-CA
NA,NA,NA,Ground Water Outflow-CO
NA,NA,NA,Total Groundwater System Outflow-CA
NA,NA,NA,Subsurface Outflow-CA
NA,NA,NA,Lake Gain from Groundwater-CA
NA,NA,NA,Groundwater Use-UT
NA,NA,NA,Pumped Groundwater-UT
NA,NA,NA,Imported Water-CA
NA,NA,NA,Imports-CO
NA,NA,NA,Industrial-NMOSE
NA,NA,NA,Industrial Consumptive Use-WY
NA,NA,NA,Industrial Total Use-WY
NA,NA,NA,Surface Water Delivery-CA
NA,NA,NA,Irrigated Agriculture-NMOSE
NA,NA,NA,Irrigated Agriculture Diversions-NMOSE
NA,NA,NA,Lake Loss to Groundwater-CA
NA,NA,NA,Livestock-NMOSE
NA,NA,NA,Livestock Consumptive Use-WY
NA,NA,NA,Managed Aquifer Recharge-CA
NA,NA,NA,Mining-NMOSE
Mine Safety and Health Administration (MSHA),Annual Employee Hours,WY Mine Production Method,Industrial: Mine Production-WY
Mine Safety and Health Administration (MSHA),Coal Production Quantities,WY Mine Production Method,Industrial: Mine Production-WY
NA,NA,NA,Power-NMOSE
NA,NA,NA,Public Water Supply-NMOSE
NA,NA,NA,Municipal and Industrial Depeltion-UT
NA,NA,NA,Municipal and Industrial Return Flow-UT
NA,NA,NA,Return Flow-CA
Historical Diversions File,Diversions,CO Native Vegetation Method,Native Vegetation Consumptive Use-CO
Colorado Water Conservation Board (CWCB),Diversions,CO Native Vegetation Method,Native Vegetation Consumptive Use-CO
NA,NA,NA,Natural System Use-UT
NA,NA,NA,Riparian Depletions-UT
NA,NA,NA,Industrial: Electrical Generation-WY
NA,NA,NA,Precipitation on Lakes-CA
NA,NA,NA,Recharge of Applied Water-CA
NA,NA,NA,Recharge of Precipitation-CA
NA,NA,NA,Recycled Water Export-CA
National Oceanic and Atmospheric Administration Stations,Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
PRISM,Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
US Geological Survey (USGS),Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
Snotel Network of Weather Stations,Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
Weather Stations,Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
Remote Automated Weather Stations (RAWS),Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
National Weather Service Stations,Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
Natural Resources Conservation Service Stations (NRCS),Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
US Bureau of Land Management (BLM),Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
WY Department of Environmental Quality (DEQ),Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
Wyoming State Engineer's Office Stations,Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
Wyoming Water Resources Data Systems Water and Climate Map Server,Precipitation,Pan Method (Net Evaporation),Reservoir Evaporation-WY
High Plains Climate Center - University of Nebraska,Gross Pan Evaportation (inches),Pan Method (Net Evaporation),Reservoir Evaporation-WY
NA,NA,NA,River Use By Wet Pasture-UT
PRISM,Precipitation,Runoff Curve Number Method,Runoff-CA
California Data Exchange Center (CDEC),Daily Max and Min Air Temperature,USGS Precipitation-Runoff Modeling System (PRMS),Runoff-CA
California Irrigation Management Information System (CIMIS),Daily Max and Min Air Temperature,USGS Precipitation-Runoff Modeling System (PRMS),Runoff-CA
California Data Exchange Center (CDEC),Daily Precipitation,USGS Precipitation-Runoff Modeling System (PRMS),Runoff-CA
California Irrigation Management Information System (CIMIS),Daily Precipitation,USGS Precipitation-Runoff Modeling System (PRMS),Runoff-CA
California Data Exchange Center (CDEC),Daily Short-Wave Solar Radiation,USGS Precipitation-Runoff Modeling System (PRMS),Runoff-CA
California Irrigation Management Information System (CIMIS),Daily Short-Wave Solar Radiation,USGS Precipitation-Runoff Modeling System (PRMS),Runoff-CA
USDA Natural Resources Conservation Service Geospatial Web Soil Survey,"Descriptive Data of Topography, Soils, and Vegetation",USGS Precipitation-Runoff Modeling System (PRMS),Runoff-CA
US Census Bureau,Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
NMOSE Technical Report No. 48,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Self-Supplied Domestic-NMOSE
Brown and Caldwell1984,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Self-Supplied Domestic-NMOSE
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Self-Supplied Domestic-NMOSE
GPS Population Data,Population Served by Public Water Supply,Withdrawal Method,Self-Supplied Domestic-NMOSE
Military Base Population Data,Population Served by Public Water Supply,Withdrawal Method,Self-Supplied Domestic-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,Withdrawal Method,Self-Supplied Domestic-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,Withdrawal Method,Self-Supplied Domestic-NMOSE
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
GPS Population Data,Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
Military Base Population Data,Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
New Mexico Environment Department (NMED),Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
NA,NA,NA,Stored Water Extraction-CA
NA,NA,NA,Stream Gain from Groundwater-CA
NA,NA,NA,Stream Loss to Groundwater-CA
NA,NA,NA,Surface Water Flows-UT
NA,NA,NA,Total Land Return Flow-UT
NA,NA,NA,Tributary Inflow-UT
USGS Stream Gages,Downstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Gains-WY
Wyoming Water Resources Data System (WRDS),Downstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Gains-WY
USGS Stream Gages,Upstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Gains-WY
Wyoming Water Resources Data System (WRDS),Upstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Gains-WY
USGS Stream Gages,Downstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Losses-WY
Wyoming Water Resources Data System (WRDS),Downstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Losses-WY
USGS Stream Gages,Upstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Losses-WY
Wyoming Water Resources Data System (WRDS),Upstream Flow,Wyoming Gain/Loss Estimation Method,Ungaged Stream Losses-WY
NA,NA,NA,Water Release Caused by Land Subsidence-CA
NA,NA,NA,Applied Water Reuse/Recycled Water-CA
Facility Director or Operator,Water Use Estimate,Personal Outreach,Commercial: Unmetered-NMOSE
NA,NA,NA,Commercial: Incomplete Metered-NMOSE
NA,NA,NA,Commercial: Metered-NMOSE
US Census Bureau,Population,Withdrawal Method,Commercial: Schools-NMOSE
NMOSE Technical Report No. 48,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Commercial: Schools-NMOSE
Brown and Caldwell1984,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Commercial: Schools-NMOSE
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Commercial: Schools-NMOSE
GPS Population Data,Population Served by Public Water Supply,Withdrawal Method,Commercial: Schools-NMOSE
Military Base Population Data,Population Served by Public Water Supply,Withdrawal Method,Commercial: Schools-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,Withdrawal Method,Commercial: Schools-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,Withdrawal Method,Commercial: Schools-NMOSE
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Commercial: Schools-NMOSE
GPS Population Data,Self Supplied Domestic Population,Withdrawal Method,Commercial: Schools-NMOSE
Military Base Population Data,Self Supplied Domestic Population,Withdrawal Method,Commercial: Schools-NMOSE
New Mexico Environment Department (NMED),Self Supplied Domestic Population,Withdrawal Method,Commercial: Schools-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Self Supplied Domestic Population,Withdrawal Method,Commercial: Schools-NMOSE
Wyoming Oil and Gas Conservation Commission (WYOGCC),Monthly Coalbed Methane Gas Production and Produced Water,WY Industrial Production Method,Industrial: Coalbed Methand Production-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),Natural Gas Processing Volumes,WY Industrial Production Method,Industrial: Coalbed Methand Production-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),"Monthly Oil, Gas, and Produced Water",WY Industrial Production Method,Industrial: Coalbed Methand Production-WY
NA,NA,NA,Industrial: Miscellaneous-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),Monthly Coalbed Methane Gas Production and Produced Water,WY Industrial Production Method,Industrial: Natural Gas-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),Natural Gas Processing Volumes,WY Industrial Production Method,Industrial: Natural Gas-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),"Monthly Oil, Gas, and Produced Water",WY Industrial Production Method,Industrial: Natural Gas-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),Monthly Coalbed Methane Gas Production and Produced Water,WY Industrial Production Method,Industrial: Oil and Gas-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),Natural Gas Processing Volumes,WY Industrial Production Method,Industrial: Oil and Gas-WY
Wyoming Oil and Gas Conservation Commission (WYOGCC),"Monthly Oil, Gas, and Produced Water",WY Industrial Production Method,Industrial: Oil and Gas-WY
NA,NA,NA,Livestock: Metered-NMOSE
US Census Bureau,Population,Withdrawal Method,Livestock: Unmetered-NMOSE
NMOSE Technical Report No. 48,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Livestock: Unmetered-NMOSE
Brown and Caldwell1984,Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Livestock: Unmetered-NMOSE
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Livestock: Unmetered-NMOSE
GPS Population Data,Population Served by Public Water Supply,Withdrawal Method,Livestock: Unmetered-NMOSE
Military Base Population Data,Population Served by Public Water Supply,Withdrawal Method,Livestock: Unmetered-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,Withdrawal Method,Livestock: Unmetered-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,Withdrawal Method,Livestock: Unmetered-NMOSE
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Livestock: Unmetered-NMOSE
GPS Population Data,Self Supplied Domestic Population,Withdrawal Method,Livestock: Unmetered-NMOSE
Military Base Population Data,Self Supplied Domestic Population,Withdrawal Method,Livestock: Unmetered-NMOSE
New Mexico Environment Department (NMED),Self Supplied Domestic Population,Withdrawal Method,Livestock: Unmetered-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Self Supplied Domestic Population,Withdrawal Method,Livestock: Unmetered-NMOSE
Facility Director or Operator,Water Use Estimate,Personal Outreach,Power: Unreported-NMOSE
NA,NA,NA,Public Water Supply: Metered-NMOSE
US Census Bureau,Population,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
